iso3,country,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_mort_100k,e_mort_num,cfr_pct,c_cdr,c_newinc,newinc_rdx,notif_foreign,c_new_tsr,newrel_coh,mdr_coh,mdr_succ,budget_lab,budget_tot,budget_staff,cf_tot,cf_tot_domestic,cf_tot_gf,cf_tot_usaid,diagnostic_gap_num,diagnostic_gap_pct,case_detection_rate,rdx_coverage_pct,budget_lab_per100k,budget_tot_per100k,lab_budget_share_pct,donor_dependency_pct,treatment_success_pct,hiv_tb_burden_pct,lfa_priority_score
AFG,Afghanistan,EMR,2021,40000415,206.0,82000.0,49000.0,159000.0,0.01,36.0,14000.0,20.0,61.0,50324.0,18981.0,0.0,93.0,50324.0,393.0,269.0,1696418.0,10633599.0,570776.0,10633599.0,,7638546.0,,31676.0,0.3862926829268293,61.0,37.71759001669184,4241.000999614629,26583.721693887426,15.953375710330999,71.83406107377192,93.0,0.01,0.5133632232494
ALB,Albania,EUR,2021,2849633,15.0,430.0,350.0,530.0,0.41,0.37,10.0,2.0,62.0,269.0,158.0,0.0,90.0,269.0,5.0,3.0,,837539.0,,,,,,161.0,0.3744186046511628,62.0,58.7360594795539,,29391.118084328755,,,90.0,0.41,0.37546309337772754
DZA,Algeria,AFR,2021,44761094,57.0,26000.0,21000.0,31000.0,0.83,7.6,3400.0,13.0,74.0,19012.0,,,90.0,3942.0,,,,,,,,,,6988.0,0.26876923076923076,74.0,,,,,,90.0,0.83,0.4607935016185791
ASM,American Samoa,WPR,2021,49223,4.4,2.0,2.0,3.0,,0.13,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.3021221864951734
AND,Andorra,EUR,2021,78364,2.6,2.0,2.0,2.0,,0.24,0.0,,100.0,2.0,0.0,0.0,100.0,2.0,0.0,,,6000.0,,,,,,0.0,0.0,100.0,0.0,,7656.576999642693,,,100.0,,0.30125401929260254
AGO,Angola,AFR,2021,34532427,371.0,128000.0,83000.0,186000.0,12.0,80.0,28000.0,23.0,48.0,61691.0,,6.0,67.0,44149.0,,,16412210.0,29384514.0,173805.0,10254870.0,6041429.0,4213441.0,,66309.0,0.5180390625,48.0,,47526.95198631709,85092.52477388861,55.85326338900824,41.087220023266994,67.0,12.0,0.7117971418687782
AIA,Anguilla,AMR,2021,14483,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.30000000000000004
ATG,Antigua and Barbuda,AMR,2021,92346,4.3,4.0,3.0,5.0,,1.2,1.0,,100.0,4.0,4.0,3.0,75.0,4.0,0.0,0.0,,,,,,,,0.0,0.0,100.0,100.0,,,,,75.0,,0.10207395498591951
ARG,Argentina,AMR,2021,45312281,34.0,15000.0,12000.0,18000.0,6.1,2.0,900.0,6.0,78.0,11927.0,697.0,1019.0,48.0,11644.0,166.0,69.0,146665.0,1086705.0,0.0,1086705.0,1086705.0,0.0,0.0,3073.0,0.20486666666666667,78.0,5.843883625387775,323.6760471184401,2398.2571082660793,13.496303044524502,0.0,48.0,6.1,0.406154765725803
ARM,Armenia,EUR,2021,2870346,26.0,750.0,610.0,910.0,11.0,1.7,49.0,7.0,53.0,398.0,326.0,2.0,86.0,317.0,47.0,34.0,690187.0,4288204.0,203921.0,3348216.0,2059940.0,1288276.0,,352.0,0.4693333333333333,53.0,81.90954773869346,24045.428669575027,149396.76262025553,16.095013203662884,38.4764901667037,86.0,11.0,0.36931678527325607
ABW,Aruba,AMR,2021,107549,5.6,6.0,5.0,7.0,,0.17,0.0,,100.0,6.0,,3.0,,,,,,,,,,,,0.0,0.0,100.0,,,,,,,,0.3027009646302208
AUS,Australia,WPR,2021,25956421,6.5,1700.0,1400.0,2000.0,1.1,0.2,52.0,3.0,87.0,1468.0,,1332.0,88.0,1256.0,20.0,11.0,,,,,,,,232.0,0.13647058823529412,87.0,,,,,,88.0,1.1,0.37082039879124873
AUT,Austria,EUR,2021,8967061,5.1,450.0,370.0,550.0,2.2,0.37,33.0,7.0,85.0,387.0,281.0,252.0,75.0,378.0,9.0,6.0,,,,,,,,63.0,0.14,85.0,72.60981912144703,,,,,75.0,2.2,0.22667600259638293
AZE,Azerbaijan,EUR,2021,10234371,67.0,6900.0,5500.0,8400.0,2.1,6.7,690.0,10.0,53.0,3663.0,3125.0,,81.0,1737.0,798.0,519.0,1332264.0,14612287.0,7251101.0,14612287.0,11086889.0,3525398.0,,3237.0,0.4691304347826087,53.0,85.31258531258531,13017.546461819686,142776.60053558738,9.11742289211812,24.126257580350018,81.0,2.1,0.387770927292234
BHS,Bahamas,AMR,2021,396375,14.0,57.0,47.0,69.0,33.0,1.8,7.0,12.0,77.0,44.0,14.0,15.0,77.0,44.0,0.0,0.0,,,,,,,,13.0,0.22807017543859648,77.0,31.818181818181817,,,,,77.0,33.0,0.35623206785590955
BHR,Bahrain,EMR,2021,1501754,17.0,260.0,210.0,310.0,3.5,1.3,20.0,8.0,75.0,196.0,182.0,162.0,44.0,192.0,,,,,,,,,,64.0,0.24615384615384617,75.0,92.85714285714286,,,,,44.0,3.5,0.24457005364271736
BGD,Bangladesh,SEA,2021,167658866,221.0,371000.0,270000.0,488000.0,0.2,27.0,45000.0,12.0,83.0,306701.0,73968.0,0.0,97.0,306860.0,1384.0,1063.0,49661669.0,157112276.0,35778032.0,95080346.0,55686165.0,39263464.0,130717.0,64299.0,0.17331266846361185,83.0,24.117299910988226,29620.663782850588,93709.4946115167,31.609031620164423,41.432517504721744,97.0,0.2,0.42931127560664206
BRB,Barbados,AMR,2021,282141,0.35,1.0,1.0,1.0,,0.87,2.0,,100.0,1.0,1.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,0.0,100.0,100.0,,0.0,,,,,0.1001688102913888
BLR,Belarus,EUR,2021,9251370,24.0,2200.0,1800.0,2700.0,8.6,2.8,260.0,12.0,67.0,1484.0,1401.0,0.0,84.0,903.0,449.0,364.0,2174613.0,70105790.0,34097802.0,70105790.0,67920001.0,2185789.0,0.0,716.0,0.32545454545454544,67.0,94.40700808625337,23505.84832300513,757788.1978561013,3.101902139609296,3.11784376154951,84.0,8.6,0.27227094968942867
BEL,Belgium,EUR,2021,11570844,8.2,950.0,770.0,1100.0,3.7,0.24,28.0,3.0,86.0,817.0,586.0,549.0,78.0,806.0,8.0,3.0,,,,,,,,133.0,0.14,86.0,71.72582619339045,,,,,78.0,3.7,0.2299391653013506
BLZ,Belize,AMR,2021,395343,35.0,140.0,110.0,170.0,25.0,4.1,16.0,12.0,52.0,72.0,57.0,11.0,80.0,70.0,2.0,1.0,53900.0,540683.0,182705.0,263631.0,101000.0,162631.0,0.0,68.0,0.4857142857142857,52.0,79.16666666666667,13633.730709788715,136763.01338331524,9.968872703598967,61.68887573919607,80.0,25.0,0.3925416630615116
BEN,Benin,AFR,2021,13413413,46.0,6200.0,3800.0,12000.0,14.0,9.7,1300.0,25.0,60.0,3711.0,2782.0,0.0,90.0,3695.0,24.0,18.0,645622.0,3291954.0,618243.0,3013955.0,399875.0,2614080.0,0.0,2489.0,0.4014516129032258,60.0,74.96631635677714,4813.256700587688,24542.254831041137,19.612120947012016,86.73254909247152,90.0,14.0,0.3689238672840446
BMU,Bermuda,AMR,2021,64639,3.1,2.0,2.0,2.0,,0.09,0.0,,100.0,2.0,0.0,2.0,100.0,2.0,0.0,0.0,,,,,,,,0.0,0.0,100.0,0.0,,,,,100.0,,0.30149517684887217
BTN,Bhutan,SEA,2021,775432,185.0,1400.0,1200.0,1700.0,0.35,35.0,280.0,19.0,60.0,854.0,528.0,8.0,94.0,799.0,52.0,50.0,267600.0,786720.0,5923.0,615861.0,60000.0,505861.0,0.0,546.0,0.39,60.0,61.82669789227166,34509.79582993738,101455.70469106254,34.01464307504576,82.13882678071838,94.0,0.35,0.441523122249208
BOL,Bolivia (Plurinational State of),AMR,2021,11937354,96.0,11000.0,9300.0,14000.0,4.5,13.0,1500.0,13.0,62.0,7071.0,5157.0,0.0,80.0,7099.0,94.0,53.0,693592.0,4101517.0,245299.0,4101517.0,1810344.0,2291173.0,0.0,3929.0,0.35718181818181816,62.0,72.93169282986848,5810.2658260783755,34358.67781084485,16.91062111896647,55.861599500867605,80.0,4.5,0.3746473563358035
BIH,Bosnia and Herzegovina,EUR,2021,3244909,23.0,750.0,610.0,900.0,0.2,1.6,50.0,7.0,48.0,362.0,1.0,10.0,46.0,361.0,0.0,0.0,,73239.0,,73239.0,73239.0,,,388.0,0.5173333333333333,48.0,0.27624309392265195,,2257.0432637710333,,0.0,46.0,0.2,0.5671226994994526
BWA,Botswana,AFR,2021,2401443,241.0,5800.0,3500.0,11000.0,48.0,91.0,2200.0,38.0,41.0,2350.0,1325.0,89.0,76.0,2800.0,49.0,32.0,,,,,,,,3450.0,0.5948275862068966,41.0,56.38297872340426,,,,,76.0,48.0,0.5984887660622356
BRA,Brazil,AMR,2021,209550290,47.0,98000.0,80000.0,118000.0,12.0,3.6,7500.0,8.0,82.0,79904.0,32531.0,539.0,65.0,78023.0,599.0,336.0,4087862.0,27619345.0,656254.0,27619345.0,27602345.0,0.0,0.0,18096.0,0.1846530612244898,82.0,40.71260512615138,1950.7784980874997,13180.294334119031,14.80072029224444,0.0,65.0,12.0,0.3318378997553787
VGB,British Virgin Islands,AMR,2021,37805,1.2,0.0,0.0,1.0,,0.03,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.3005787781350473
BRN,Brunei Darussalam,WPR,2021,451723,66.0,300.0,240.0,360.0,1.7,5.4,24.0,8.0,79.0,235.0,,71.0,70.0,229.0,0.0,0.0,,,,,,,,65.0,0.21666666666666667,79.0,,,,,,70.0,1.7,0.4392930163478823
