iso3,country,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_mort_100k,e_mort_num,cfr_pct,c_cdr,c_newinc,newinc_rdx,notif_foreign,c_new_tsr,newrel_coh,mdr_coh,mdr_succ,budget_lab,budget_tot,budget_staff,cf_tot,cf_tot_domestic,cf_tot_gf,cf_tot_usaid,diagnostic_gap_num,diagnostic_gap_pct,case_detection_rate,rdx_coverage_pct,budget_lab_per100k,budget_tot_per100k,lab_budget_share_pct,donor_dependency_pct,treatment_success_pct,hiv_tb_burden_pct,lfa_priority_score
PNG,Papua New Guinea,WPR,2021,10012899,622.0,62000.0,37000.0,126000.0,6.9,161.0,16000.0,26.0,46.0,28873.0,,,73.0,28244.0,527.0,279.0,2002574.0,18690825.0,1244338.0,7804738.0,4538532.0,3141081.0,0.0,33127.0,0.5343064516129032,46.0,,19999.942074717823,186667.46763349956,10.714208709353386,40.245822473477006,73.0,6.9,0.8548695724936208
MNG,Mongolia,WPR,2021,3339678,421.0,14000.0,7300.0,23000.0,0.09,11.0,370.0,3.0,19.0,2709.0,1310.0,0.0,90.0,2584.0,108.0,78.0,1322429.0,7103757.0,3886343.0,7103757.0,4506001.0,2557756.0,,11291.0,0.8065,19.0,48.357327427094866,39597.500118274875,212707.84189373945,18.615909862907753,36.00567981140121,90.0,0.09,0.7862827713956303
DJI,Djibouti,EMR,2021,1121254,392.0,4400.0,3600.0,5300.0,2.7,107.0,1200.0,28.0,41.0,1799.0,,,82.0,1792.0,,,,,,,,,,2601.0,0.5911363636363637,41.0,,,,,,82.0,2.7,0.782253568952847
MMR,Myanmar,SEA,2021,53387099,353.0,188000.0,124000.0,275000.0,7.1,68.0,36000.0,20.0,34.0,64410.0,,45.0,87.0,69952.0,1438.0,1084.0,15991898.0,90208945.0,11933064.0,52044630.0,4852183.0,34871126.0,7523000.0,123590.0,0.6573936170212766,34.0,,29954.611319112882,168971.4307196201,17.72761891850082,81.45725313063038,87.0,7.1,0.7811320613661329
SSD,South Sudan,AFR,2021,10865777,339.0,37000.0,23000.0,70000.0,13.0,91.0,9900.0,30.0,47.0,17468.0,,0.0,84.0,12135.0,127.0,121.0,1000000.0,11940000.0,240000.0,5533954.0,0.0,5533954.0,0.0,19532.0,0.5278918918918919,47.0,,9203.20746505289,109886.29713273152,8.375209380234505,100.0,84.0,13.0,0.7206618114185922
LSO,Lesotho,AFR,2021,2261539,606.0,14000.0,8300.0,20000.0,64.0,239.0,5400.0,41.0,33.0,4490.0,3807.0,,77.0,4508.0,111.0,82.0,1867484.0,14216736.0,2022790.0,10610878.0,4094870.0,5823609.0,692399.0,9510.0,0.6792857142857143,33.0,84.78841870824053,82575.80346834612,628631.0339994137,13.135814015256384,61.40875429912586,77.0,64.0,0.7177846781437403
AGO,Angola,AFR,2021,34532427,371.0,128000.0,83000.0,186000.0,12.0,80.0,28000.0,23.0,48.0,61691.0,,6.0,67.0,44149.0,,,16412210.0,29384514.0,173805.0,10254870.0,6041429.0,4213441.0,,66309.0,0.5180390625,48.0,,47526.95198631709,85092.52477388861,55.85326338900824,41.087220023266994,67.0,12.0,0.7117971418687782
COD,Democratic Republic of the Congo,AFR,2021,99148925,401.0,397000.0,243000.0,763000.0,8.0,92.0,91000.0,26.0,54.0,214408.0,20148.0,,95.0,214408.0,1125.0,1075.0,11873032.0,57194960.0,4923455.0,35004478.0,719985.0,29390839.0,4120000.0,182592.0,0.4599294710327456,54.0,9.397037423976718,11974.947786877165,57685.91036161008,20.75887805498946,95.73300593141255,95.0,8.0,0.6966599716858739
KHM,Cambodia,WPR,2021,16974300,279.0,47000.0,36000.0,63000.0,1.7,19.0,3300.0,7.0,46.0,21589.0,,,95.0,21648.0,65.0,54.0,4400000.0,34450000.0,8700000.0,17440639.0,6300000.0,7892639.0,1500000.0,25411.0,0.5406595744680851,46.0,,25921.54021078925,202953.87733220222,12.772133526850508,53.85490176134028,95.0,1.7,0.6895869945393052
CAF,Central African Republic,AFR,2021,5112092,446.0,23000.0,14000.0,43000.0,28.0,111.0,5700.0,27.0,58.0,13216.0,2598.0,0.0,83.0,13216.0,100.0,69.0,558510.0,3754547.0,482078.0,3694664.0,1209240.0,2410763.0,47945.0,9784.0,0.42539130434782607,58.0,19.657990314769975,10925.27286285145,73444.43331614533,14.87556288415087,66.54753991161307,83.0,28.0,0.681244032665317
KIR,Kiribati,WPR,2021,128371,547.0,700.0,570.0,850.0,0.46,38.0,49.0,7.0,47.0,330.0,224.0,1.0,86.0,330.0,0.0,0.0,23324.0,489369.0,375922.0,489369.0,129460.0,114038.0,,370.0,0.5285714285714286,47.0,67.87878787878788,18169.212672644135,381214.60454464017,4.766137618034652,23.303069871610177,86.0,0.46,0.6810212779192497
SLE,Sierra Leone,AFR,2021,8094608,395.0,32000.0,20000.0,62000.0,15.0,94.0,7600.0,27.0,55.0,17551.0,4227.0,0.0,91.0,17669.0,,,700000.0,9699091.0,600000.0,6256558.0,614412.0,5000000.0,,14449.0,0.45153125,55.0,24.08409777220671,8647.731922287034,119821.62693980981,7.217171176144238,79.91614558675873,91.0,15.0,0.6619120200206635
SRB,Serbia,EUR,2021,6835431,19.0,1300.0,1100.0,1600.0,0.31,0.64,44.0,3.0,34.0,445.0,,0.0,85.0,446.0,3.0,3.0,,,,,,,,855.0,0.6576923076923077,34.0,,,,,,85.0,0.31,0.6353597996004031
GNQ,Equatorial Guinea,AFR,2021,1758790,211.0,3700.0,2300.0,7200.0,40.0,67.0,1200.0,36.0,49.0,1807.0,70.0,22.0,59.0,1887.0,36.0,23.0,482952.0,1512621.0,65895.0,1021821.0,782458.0,0.0,0.0,1893.0,0.5116216216216216,49.0,3.87382401770891,27459.33283677983,86003.50240790544,31.92815649128235,0.0,59.0,40.0,0.6338610236198524
HTI,Haiti,AMR,2021,11374584,209.0,24000.0,19000.0,29000.0,14.0,23.0,2600.0,11.0,44.0,10407.0,2380.0,0.0,82.0,9778.0,66.0,57.0,1185231.0,10036315.0,2139819.0,6743644.0,362729.0,6159270.0,,13593.0,0.566375,44.0,22.86922263860863,10419.994260889014,88234.56752352438,11.809424076466312,91.33444766657314,82.0,14.0,0.6306925415511592
GAB,Gabon,AFR,2021,2376719,401.0,9500.0,5800.0,18000.0,30.0,110.0,2600.0,28.0,53.0,5073.0,2665.0,0.0,57.0,3245.0,63.0,33.0,,356324.0,,356324.0,,356324.0,,4427.0,0.466,53.0,52.53301793810368,,14992.26454620845,,100.0,57.0,30.0,0.6194644566386152
NPL,Nepal,SEA,2021,29475018,230.0,68000.0,40000.0,103000.0,0.79,59.0,18000.0,27.0,42.0,28252.0,11514.0,,92.0,27980.0,396.0,305.0,5965862.0,23570814.0,1058267.0,16065703.0,7020168.0,8995535.0,0.0,39748.0,0.5845294117647059,42.0,40.75463683986975,20240.401549542734,79968.78576969825,25.310377486326946,55.99216542220406,92.0,0.79,0.6090800689431033
PHL,Philippines,WPR,2021,113100949,579.0,655000.0,368000.0,1060000.0,0.76,37.0,42000.0,7.0,49.0,321564.0,209887.0,46.0,80.0,376014.0,5793.0,4582.0,209929951.0,313822668.0,16480331.0,150090913.0,82279113.0,43847961.0,23963839.0,333436.0,0.5090625954198473,49.0,65.2706770658407,185612.89967602305,277471.29513475613,66.89445104073872,45.18048337809765,80.0,0.76,0.6071808957742371
TLS,Timor-Leste,SEA,2021,1350133,398.0,5400.0,3400.0,9900.0,1.0,77.0,1000.0,19.0,59.0,3193.0,1026.0,0.0,92.0,3193.0,20.0,18.0,627783.0,2972238.0,476276.0,2972238.0,,2972238.0,,2207.0,0.4087037037037037,59.0,32.13279047917319,46497.86354381383,220144.0895082188,21.121558906117208,100.0,92.0,1.0,0.6068482466101093
BWA,Botswana,AFR,2021,2401443,241.0,5800.0,3500.0,11000.0,48.0,91.0,2200.0,38.0,41.0,2350.0,1325.0,89.0,76.0,2800.0,49.0,32.0,,,,,,,,3450.0,0.5948275862068966,41.0,56.38297872340426,,,,,76.0,48.0,0.5984887660622356
